,weight,total_income,pitax,table_row
89559,20.96207025411061,0.0,0.0,1
33559,20.96207025411061,0.0,0.0,1
6928,20.96207025411061,0.0,0.0,1
23491,20.96207025411061,0.0,0.0,1
74094,20.96207025411061,0.0,0.0,1
87277,20.96207025411061,0.0,0.0,1
28591,20.96207025411061,0.0,0.0,1
87252,20.96207025411061,0.0,0.0,1
31252,20.96207025411061,0.0,0.0,1
90016,20.96207025411061,0.0,0.0,1
77475,20.96207025411061,0.0,0.0,1
47041,20.96207025411061,0.0,0.0,1
34423,20.96207025411061,0.0,0.0,1
21490,20.96207025411061,0.0,0.0,1
59503,20.96207025411061,0.0,0.0,1
56451,20.96207025411061,0.0,0.0,1
85091,20.96207025411061,0.0,0.0,1
89637,20.96207025411061,0.0,0.0,1
34526,20.96207025411061,0.0,0.0,1
22551,20.96207025411061,0.0,0.0,1
79759,20.96207025411061,0.0,0.0,1
64735,20.96207025411061,0.0,0.0,1
64729,20.96207025411061,0.0,0.0,1
64722,20.96207025411061,0.0,0.0,1
92718,20.96207025411061,0.0,0.0,1
40087,20.96207025411061,0.0,0.0,1
76137,20.96207025411061,0.0,0.0,1
3589,20.96207025411061,0.0,0.0,1
70604,20.96207025411061,0.0,0.0,1
70602,20.96207025411061,0.0,0.0,1
90379,20.96207025411061,0.0,0.0,1
70601,20.96207025411061,0.0,0.0,1
33537,20.96207025411061,0.0,0.0,1
78698,20.96207025411061,0.0,0.0,1
26017,20.96207025411061,0.0,0.0,1
21477,20.96207025411061,0.0,0.0,1
76152,20.96207025411061,0.0,0.0,1
69494,20.96207025411061,0.0,0.0,1
39748,20.96207025411061,0.0,0.0,1
31259,20.96207025411061,0.0,0.0,1
23529,20.96207025411061,0.0,0.0,1
23527,20.96207025411061,0.0,0.0,1
6859,20.96207025411061,0.0,0.0,1
35347,20.96207025411061,0.0,0.0,1
55089,20.96207025411061,0.0,0.0,1
59486,20.96207025411061,0.0,0.0,1
21464,20.96207025411061,0.0,0.0,1
97021,20.96207025411061,0.0,0.0,1
70624,20.96207025411061,0.0,0.0,1
96993,20.96207025411061,0.0,0.0,1
6875,20.96207025411061,0.0,0.0,1
68362,20.96207025411061,0.0,0.0,1
89528,20.96207025411061,0.0,0.0,1
23558,20.96207025411061,0.0,0.0,1
73562,20.96207025411061,0.0,0.0,1
76006,20.96207025411061,0.0,0.0,1
28559,20.96207025411061,0.0,0.0,1
28537,20.96207025411061,0.0,0.0,1
39751,20.96207025411061,0.0,0.0,1
354,20.96207025411061,0.0,0.0,1
28584,20.96207025411061,0.0,0.0,1
28561,20.96207025411061,0.0,0.0,1
338,20.96207025411061,0.0,0.0,1
320,20.96207025411061,0.0,0.0,1
61365,20.96207025411061,0.0,0.0,1
28945,20.96207025411061,0.0,0.0,1
3130,20.96207025411061,0.0,0.0,1
87102,20.96207025411061,0.0,0.0,1
82405,20.96207025411061,0.0,0.0,1
76012,20.96207025411061,0.0,0.0,1
6829,20.96207025411061,0.0,0.0,1
21405,20.96207025411061,0.0,0.0,1
75034,20.96207025411061,0.0,0.0,1
75030,20.96207025411061,0.0,0.0,1
45743,20.96207025411061,0.0,0.0,1
95776,20.96207025411061,0.0,0.0,1
79762,20.96207025411061,0.0,0.0,1
6822,20.96207025411061,0.0,0.0,1
30887,20.96207025411061,0.0,0.0,1
6803,20.96207025411061,0.0,0.0,1
78673,20.96207025411061,0.0,0.0,1
72689,20.96207025411061,0.0,0.0,1
45761,20.96207025411061,0.0,0.0,1
89532,20.96207025411061,0.0,0.0,1
33724,20.96207025411061,0.0,0.0,1
53900,20.96207025411061,0.0,0.0,1
87305,20.96207025411061,0.0,0.0,1
69866,20.96207025411061,0.0,0.0,1
