id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
98105,2018,260208,5560865,0,5821073,26021,556086,582107
81432,2018,1510288,0,0,1510288,185452,0,185452
110402,2018,333367,0,0,333367,33337,0,33337
105589,2018,491244,15111110,0,15602354,49124,1511111,1560235
111562,2018,0,900000,0,900000,0,90000,90000
84462,2018,1404306,31000,0,1435306,166375,3100,169475
109950,2018,2615013,0,0,2615013,384302,0,384302
111527,2018,294232,0,0,294232,29423,0,29423
120590,2018,1581364,5339836,0,6921200,198246,533984,732229
144887,2018,1469448,0,0,1469448,178101,0,178101
145424,2018,893051,500000,0,1393051,89305,50000,139305
141789,2018,1007472,0,0,1007472,100747,0,100747
98156,2018,315012,690000,0,1005012,31501,69000,100501
147465,2018,789438,1639524,0,2428962,78944,163952,242896
132901,2018,1082136,0,0,1082136,108384,0,108384
126851,2018,648342,908050,0,1556392,64834,90805,155639
143724,2018,4885040,652070,0,5537110,792907,65207,858114
138732,2018,69480,0,0,69480,6948,0,6948
110247,2018,250373,0,0,250373,25037,0,25037
152963,2018,442872,0,0,442872,44287,0,44287
83877,2018,248283,0,0,248283,24828,0,24828
107179,2018,883605,0,0,883605,88360,0,88360
155027,2018,205644,0,0,205644,20564,0,20564
122144,2018,3505702,0,0,3505702,544626,0,544626
123461,2018,1975848,0,0,1975848,269253,0,269253
138203,2018,3356100,0,0,3356100,517698,0,517698
122258,2018,891886,0,0,891886,89189,0,89189
132871,2018,3179625,0,0,3179625,485932,0,485932
105992,2018,215602,0,0,215602,21560,0,21560
91288,2018,0,0,0,0,0,0,0
150927,2018,2263009,0,0,2263009,320942,0,320942
94971,2018,606575,1365158,0,1971733,60658,136516,197173
83844,2018,1979196,0,0,1979196,269855,0,269855
97032,2018,0,0,0,0,0,0,0
82281,2018,208200,750000,0,958200,20820,75000,95820
136594,2018,1195838,0,0,1195838,128851,0,128851
81845,2018,1702988,0,0,1702988,220138,0,220138
114740,2018,0,0,0,0,0,0,0
119413,2018,0,3810218,0,3810218,0,381022,381022
116634,2018,0,1497753,0,1497753,0,149775,149775
98055,2018,1030269,116796,0,1147065,103027,11680,114707
87164,2018,1509940,0,0,1509940,185389,0,185389
79791,2018,5327618,0,0,5327618,872571,0,872571
134321,2018,635524,14192861,0,14828385,63552,1419286,1482838
136034,2018,566817,10308,0,577125,56682,1031,57713
99617,2018,1376326,30240,0,1406566,161339,3024,164363
144683,2018,270144,1377988,0,1648132,27014,137799,164813
141326,2018,2086785,0,0,2086785,289221,0,289221
109286,2018,254586,0,0,254586,25459,0,25459
108824,2018,202210,2777778,0,2979988,20221,277778,297999
116042,2018,206683,1454089,0,1660772,20668,145409,166077
112123,2018,1258937,0,0,1258937,140209,0,140209
118453,2018,206922,0,0,206922,20692,0,20692
90463,2018,721304,0,0,721304,72130,0,72130
91489,2018,103407,2800502,0,2903909,10341,280050,290391
119572,2018,19996883,0,0,19996883,3513039,0,3513039
111714,2018,1897199,0,0,1897199,255096,0,255096
141427,2018,1948218,0,0,1948218,264279,0,264279
115094,2018,2927981,0,0,2927981,440637,0,440637
